SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
513369,RAJKUMAR FRG,X ,Q,41.10,45.50,41.10,43.25,41.70,44.95,40,4510,188556.00,
513375,CARBORUNDUM ,A ,Q,461.85,477.00,460.00,467.15,469.80,469.25,1254,30075,14133999.00,
513377,MINERAL&METL,A ,Q,46.95,47.40,45.10,45.50,45.50,45.30,2598,654788,30412882.00,
513403,PM TELELINN ,X ,Q,4.00,4.11,4.00,4.11,4.11,3.92,10,2840,11424.00,
513430,MAITRI      ,XT,Q,6.30,6.30,5.99,5.99,5.99,6.30,9,160,961.00,
513434,TATA METALIK,A ,Q,730.05,735.65,720.00,721.15,721.50,733.05,572,19681,14285033.00,
513436,SHAH ALLOYS ,B ,Q,8.70,8.75,8.70,8.71,8.71,9.15,128,4700,41076.00,
513446,JSWISPL     ,B ,Q,24.50,24.80,23.85,24.80,24.80,23.65,205,64796,1600889.00,
513456,KANISHK ST. ,XT,Q,9.45,9.45,9.45,9.45,9.45,9.27,1,1,9.00,
513460,MAHALAXMI SM,Z ,Q,3.69,3.69,3.69,3.69,3.69,3.69,2,16,59.00,
513488,SH.STEEL WIR,X ,Q,21.10,22.55,21.10,21.75,21.75,21.60,8,2772,60227.00,
513498,SOUTH.MAGNES,XT,Q,10.71,10.71,10.71,10.71,10.71,11.27,4,454,4862.00,
513502,BARODA EXTR.,XT,Q,1.05,1.05,1.05,1.05,1.05,1.07,28,4150,4357.00,
513509,KALYANI FORG,T ,Q,195.10,199.95,194.00,194.20,194.00,204.00,12,1130,219572.00,
513511,PANCH.STEEL ,X ,Q,29.90,30.90,27.60,29.70,30.90,29.90,33,9875,287085.00,
513513,ADITYA ISPAT,X ,Q,4.90,4.90,4.90,4.90,4.90,5.14,2,250,1225.00,
513515,S.R.INDUS.  ,XT,Q,2.99,3.20,2.92,2.95,2.95,3.06,8,17394,52093.00,
513517,STEELCAST   ,X ,Q,133.45,134.00,133.45,133.65,133.45,134.80,5,168,22428.00,
513519,PITTIENG    ,B ,Q,68.70,69.35,66.10,66.70,67.70,68.70,1439,149980,10252906.00,
513528,GLITTEK GRAN,X ,Q,1.95,1.95,1.95,1.95,1.95,1.90,2,2105,4104.00,
513532,PRADEEP MET.,X ,Q,36.45,40.85,34.50,36.50,36.15,35.30,91,11767,435595.00,
513536,GNRL        ,XT,Q,13.90,13.90,13.90,13.90,13.90,14.15,24,10915,151718.00,
513548,SHARDA ISPAT,XT,Q,56.00,56.35,55.35,55.35,55.35,56.45,21,428,23760.00,
513554,MAHA STEEL  ,B ,Q,75.95,78.00,75.35,77.25,76.70,80.10,62,1767,135093.00,
513558,REAL STRIPS ,X ,Q,9.59,9.59,9.59,9.59,9.59,9.97,1,1000,9590.00,
513566,NOVA IRON&ST,XT,Q,6.97,6.97,6.97,6.97,6.97,6.97,2,225,1568.00,
513579,FOUNDRY FUEL,Z ,Q,2.33,2.33,2.25,2.33,2.33,2.29,5,151,347.00,
513599,HIND.COPPER ,A ,Q,130.00,130.75,123.55,123.80,123.80,130.05,4550,305676,38468603.00,
513605,SRIPIPES    ,A ,Q,170.75,173.50,167.45,169.25,169.40,169.40,325,5126,868090.00,
513642,AXEL POLYMER,XT,Q,12.95,12.95,12.95,12.95,12.95,12.95,2,300,3885.00,
513683,NLCINDIA    ,A ,Q,50.55,50.85,50.10,50.30,50.30,50.55,650,117321,5924394.00,
513687,SPECTRA IND.,XT,Q,2.51,2.52,2.51,2.52,2.52,2.56,6,4295,10787.00,
513691,JMT AUTO LTD,T ,Q,2.70,2.70,2.51,2.59,2.64,2.64,230,69863,180896.00,
513693,KIC METALIKS,X ,Q,26.75,27.35,26.50,27.05,27.35,27.35,49,113147,3000436.00,
513709,SHILP GRAVUR,X ,Q,88.00,91.40,88.00,90.80,90.80,87.60,103,11889,1072830.00,
513713,WHITEORG    ,X ,Q,4.40,4.50,4.32,4.36,4.35,4.37,67,28895,126437.00,
